ID_ESPACIO,ID_EDIFICIO,ID_UTC,ID_CENTRO,ID_CC,ID_SOROLLA,TIPO_DE_USO,LARGO,ANCHO,DIAGONAL,SUPERFICIE,ALTURA_MAXIMA,ALTURA_MEDIA,VOLUMEN,FALSO_TECHO,NMRO_VENTANAS,PERSIANAS_EXT,ORIENTACION_PRAL,ILUMINACION_ART,NMRO_PUNTOS_LUZ,NMRO_PUNTOS_AGUA,NMRO_PUNTOS_GAS,VITRINAS_RIESGO_BIOLOGICO,VITRINAS_RIESGO_QUIMICO,NMRO_VITRINAS_RB,NMRO_VITRINAS_RQ,PTOS_EXTRACCION_LOCALIZADA,NMRO_PTOS_EXT_LOCALIZ,TIPO_CALEFACCION,TIPO_CLIMATIZACION,ROSETAS_VOZ,ROSETAS_DATOS,CAÑON_FIJO,PANTALLA_PROYECTOR,EQUIPO_DE_SONIDO,TV,VIDEO,DVD,FOTOCOPIADORAS,IMPRESORAS,ORDENADORES,FAXES,TELEFONOS,PIZARRA,NMRO_PLAZAS,CAD_ASOCIADO,OBSERVACIONES,EXTINTORES_DE_POLVO,EXTINTORES_DE_CO2,NMRO_EXTINTORES_POLVO,NMRO_EXTINTORES_CO2,BIES,NMRO_BIES,TIPO_BIES,COLUMNA_SECA,GRUPO_DE_PRESION_INCENDIOS,DETECCION_DE_INCENDIOS,PROTECCION_POR_ROCIADORES,ILUMINACION_DE_EMERGENCIA,POTENCIA_ELECTRICA_INSTALADAW,RESERVABLE
"CRE.1201.01.870","CRE.1201.","01.870","NAVE 2 - TECMEC",,6641,24,8.67000000,4.29000000,0.00000000,37.22000000,2.780,2.780,103.47200000,1,2,3,2,5,4,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,0,0,0,5,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CRE.1201.01.880","CRE.1201.","01.880","NAVE 3 - INGMEC",,0,2,8.65000000,4.28000000,0.00000000,37.08000000,2.800,2.800,103.82400000,1,2,3,2,5,4,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CRE.1201.01.890","CRE.1201.","01.890","PASILLO",,0,31,0.00000000,0.00000000,0.00000000,348.27000000,7.000,2.800,975.15600000,1,62,1,5,5,71,0,0,0,0,0,0,0,0,2,1,,,0,0,0,,0,0,0,0,0,0,0,1,0,,,1,1,4,1,1,3,1,0,0,1,0,1,0,0
"CRE.1201.01.900","CRE.1201.","01.900","NAVE 4 - ING DIS FAB",,6643,40,8.80000000,4.23700000,0.00000000,37.29000000,2.750,2.750,102.54800000,1,2,3,2,5,4,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,0,0,0,5,14,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CRE.1201.01.910","CRE.1201.","01.910","NAVE 5 - LAB INV",,6644,26,0.00000000,0.00000000,0.00000000,41.46000000,2.730,2.730,113.18600000,1,0,1,2,5,10,0,0,0,0,0,0,0,0,2,4,,,0,0,0,,0,0,0,0,0,0,0,1,2,,"GEMM I3A;",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CRE.1201.01.920","CRE.1201.","01.920","LAB FISICA D - 10P1",,6665,41,11.47000000,4.30800000,0.00000000,49.41000000,2.772,2.772,136.96500000,1,3,3,7,5,6,2,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,0,0,1,5,16,,,1,0,1,0,0,0,3,0,0,1,0,1,0,0
"CRE.1201.01.922","CRE.1201.","01.922","LAB FISICA C - 10P1",,6664,41,11.47000000,4.33000000,0.00000000,49.75000000,2.780,2.780,138.30500000,1,3,3,7,5,6,2,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,1,3,0,1,1,8,,,1,0,1,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.01.925","CRE.1201.","01.925","LAB FISICA B 10P1",,6663,41,11.48000000,8.68000000,0.00000000,99.70000000,2.773,2.773,276.46800000,1,6,3,7,5,13,2,11,0,0,0,0,0,0,6,1,,,0,1,0,1,0,0,0,1,4,0,1,5,24,,,1,0,1,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.01.930","CRE.1201.","01.930","09 FÍSICA APLICADA - A",,6662,41,17.69000000,11.49000000,0.00000000,203.36000000,2.750,2.750,559.24000000,1,18,2,7,5,29,4,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,2,13,0,1,5,82,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.01.940","CRE.1201.","01.940","08 ING DIS Y FAB",,0,44,11.44000000,8.68000000,0.00000000,99.33000000,2.750,2.750,273.15700000,1,12,2,7,5,13,0,0,0,0,0,0,0,0,6,1,,,0,1,0,,0,0,0,1,13,0,1,5,30,,"TECNOLOGÍA INTEGRADA POR ORDENADOR",1,0,1,0,0,0,0,0,0,1,0,1,0,0
